shortdefinitions{
<ανά>γνωστος|hard to read
@στύραξ2|spike at the lower end of a spear-shaft
@στύραξ|storax
@συγκαταλέγω1|lay down with
@συγκαταλέγω2|repeat or quote along with
@συγκαταλέγω|lay down with
@συμπάρειμι1|sum) to be present also or at the same time
@συμπάρειμι2|ibo) march beside together
@συμπάρειμι|sum) to be present also or at the same time
@συναλίζω1|bring together, collect, assemble
@συναλίζω2|eat salt with, eat at the same table with, Act. Ap.
@συναλίζω|bring together, collect, assemble
@συναυλία1|concert of lyre and flute
@συναυλία2|dwelling together
@συναυλία|concert of lyre and flute
@συνείκω1|give way, yield
@συνείκω3|accrue
@συνείκω|give way, yield
@συνεράω1|pour together, gather together
@συνεράω2|love jointly or together with
@συνεράω|pour together, gather together
@συννέω1|swim together
@συννέω2|pile or heap together, heap up
@συννέω|swim together
@συρίζω|yw
@συρτός1|swept or washed down by a river
@συρτός|swept or washed down by a river
@σφυρίον2|small hammer, mallet
@σχοινίς1|rope, cord
@σχοινίς|rope, cord
@σύναυλος1|in concert with the flute
@σύναυλος2|dwelling with, living in the folds with
@σύναυλος|in concert with the flute
@σύνειμι1|sum
@σύνειμι2|ibo) go or come together, assemble
@σύνειμι|sum
@σύννομος1|feeding in herds or together
@σύννομος2|lawful, regular
@σύννομος|feeding in herds or together
@σύνοδος2|assembly, meeting
@σύρος|broom, brushwood
@σῶς1|safe and sound, alive and well
@σῶς|safe and sound, alive and well
@τ|to be in motion together with
@τάριχος1|dead body preserved by embalming, mummy
@τάριχος|dead body preserved by embalming, mummy
@τάφος1|funeral-rites
@τάφος2|astonishment, amazement
@τάφος|funeral-rites
@τέμνω1|cut
@τέμνω2|ā-cāmati
@τέμνω|cut
@τέραμνον1|chamber, house
@τέραμνον|chamber, house
@τίω1|Erster Bericht
@τίω|Erster Bericht
@ταμία1|housekeeper, housewife
@ταμία|housekeeper, housewife
@τεράμων1|becoming soft by boiling
@τεράμων2|Excerpta ex libris Herodiani
@τεράμων|becoming soft by boiling
@τοι1|let me tell you, mark you, look you
@τοι|let me tell you, mark you, look you
@τρίβων1|worn garment, threadbare cloak
@τρίβων2|practised or skilled in
@τρίβων|worn garment, threadbare cloak
@τραγανός2|eatable
@τριχοτομέω1|cut the hair
@τριχοτομέω2|trisect
@τριχοτομέω|cut the hair
@τροπόω1|make to turn, put to flight
@τροπόω2|furnish the oar with its thong
@τροπόω|make to turn, put to flight
@τροχειλέα2|ease or glibness
@τροχός1|wheel
@τροχός2|running, tripping
@τροχός|wheel
@τῆδε1|here
@τῆδε|here
@τῆλις1|fenugreek, Trigonella Foenum-graecum
@τῆλις|fenugreek, Trigonella Foenum-graecum
@φάβα1|faba) beans
@φάβα|faba) beans
@φάρος2|plough
@φάσις1|denunciation, information laid
@φάσις2|utterance, expression
@φάσις|denunciation, information laid
@φή2|as, like as
@φανός1|light, bright
@φανός2|torch
@φανός|light, bright
@φατός1|spoken or that may be spoken
@φατός2|slain, dead
@φατός|spoken or that may be spoken
@φιλεταίρειος1|of Philetaerus.
@φιλεταίρειος2|Yale Classical Studies
@φιλεταίρειος|of Philetaerus.
@φιλόκνισος1|fond of pinching, prurient
@φιλόκνισος2|delighting in the savour of banquets
@φιλόκνισος|fond of pinching, prurient
@φλέξις2|ardor, flammatus
@φρύγιος1|dry
@φρύγιος2|Phrygian
@φρύγιος|dry
@φρύξ1|a Phrygian
@φρύξ|a Phrygian
@φυσίωσις1|natural tendency, character
@φυσίωσις2|inflation
@φυσίωσις|natural tendency, character
@φυσιόω1|dispose one naturally
@φυσιόω2|puff up
@φυσιόω|dispose one naturally
@φόρκυς2|Phorcys
@χάρμη1|joy of battle, lust of battle
@χάρμη2|grot
@χάρμη|joy of battle, lust of battle
@χέω|pour
@χείρων|meaner, inferior
@χειμάζω|expose to the winter cold
@χειρόω2|worst, master, subdue
@χοῦς1|the Pitcher-feast
@χοῦς2|soil excavated or heaped up
@χοῦς|the Pitcher-feast
@χράομαι|desire, yearn after
@χράω1|fall upon, attack, assail
@χράω2|proclaim
@χράω|fall upon, attack, assail
@χρεῖος2|needing, in want of
@χρῄζω1|want, lack, have need of
@χρῄζω2|deliver an oracle, foretell
@χρῄζω|want, lack, have need of
@χωρέω|make room for another, give way, withdraw
@χωρισμός|separation
@χῶρος1|a definite space, piece of ground, place
@χῶρος2|north-west wind
@χῶρος|a definite space, piece of ground, place
@ψέγω1|blame, censure
@ψέγω|blame, censure
@ψίλαξ2|winged
@ψαρός1|like a starling
@ψαρός|like a starling
@ψευδόχρυσος1|a false chrysolite
@ψευδόχρυσος2|of mock gold
@ψευδόχρυσος|a false chrysolite
@ϊος2|of or belonging to a maiden
@ἀ1|want or absence
@ἀ|want or absence
@ἀΐω1|perceive
@ἀΐω2|breathe
@ἀΐω|perceive
@ἀγή1|breakage:
@ἀγή|breakage:
@ἀγήρατος1|ageless
@ἀγήρατος2|stone
@ἀγήρατος|ageless
@ἀγαῖος1|enviable
@ἀγαῖος2|leading the procession
@ἀγαῖος|enviable
@ἀγώνιος1|of or belonging to the contest
@ἀγώνιος2|without angle
@ἀγώνιος|of or belonging to the contest
@ἀδεής1|fearless
@ἀδεής2|not in want
@ἀδεής|fearless
@ἀκέω2|to be silent
@ἀκή1|point
@ἀκή2|silence
@ἀκή3|healing
@ἀκή|point
@ἀκήριος1|unharmed by the
@ἀκήριος2|without heart
@ἀκήριος|unharmed by the
@ἀκακία1|shittah tree, Acacia arabica
@ἀκακία2|guilelessness
@ἀκακία|shittah tree, Acacia arabica
@ἀκρασία1|bad mixture, ill temperature
@ἀκρασία|bad mixture, ill temperature
@ἀκρόνυχος1|at nightfall
@ἀκρόνυχος|at nightfall
@ἀκτή1|headland, foreland, promontory
@ἀκτή2|corn
@ἀκτή|headland, foreland, promontory
@ἀκύμων2|without fruit, barren
@ἀλέκτωρ1|cock
@ἀλέκτωρ|cock
@ἀλέω1|grind, bruise
@ἀλέω|grind, bruise
@ἀλεάζω1|to be warm
@ἀλεάζω|to be warm
@ἀλητός1|to grind
@ἀλητός2|ground
@ἀλητός|to grind
@ἀλλ᾽1|except, but
@ἀλλ᾽|except, but
@ἀμάω1|reap corn
@ἀμάω2|draw, gather
@ἀμάω|reap corn
@ἀμία1|tunny
@ἀμία|tunny
@ἀμελής1|careless, negligent
@ἀμελής2|unmelodious
@ἀμελής|careless, negligent
@ἀμμορία1|what is not
@ἀμμορία|what is not
@ἀμοργός1|one who squeezes or drains
@ἀνάξιος1|unworthy, not deemed or held worthy
@ἀνάξιος2|kingly, royal
@ἀνάξιος|unworthy, not deemed or held worthy
@ἀνήνιος1|unbridled
@ἀνήνιος2|without pain
@ἀνήνιος|unbridled
@ἀναθύω1|dart up, burst forth
@ἀναθύω2|sacrifice again
@ἀναθύω|dart up, burst forth
@ἀναλύω1|cause to wander, unsettle
@ἀναλύω2|unloose, undo
@ἀναλύω|cause to wander, unsettle
@ἀναξία1|command, behest
@ἀναξία2|lack of value: inferiority
@ἀναξία|command, behest
@ἀνδρακάς1|man by man
@ἀνδρακάς2|a man's portion
@ἀνδρακάς|man by man
@ἀνεκκλησίαστος1|not used for assemblies of the people
@ἀνεκκλησίαστος2|unchallenged
@ἀνεκκλησίαστος|not used for assemblies of the people
@ἀντίον2|loom
@ἀνώϊστος1|unlooked for, unexpected
@ἀνώϊστος2|referred
@ἀνώϊστος|unlooked for, unexpected
@ἀξιόθεος1|worthy of God
@ἀξιόθεος2|worth seeing
@ἀξιόθεος|worthy of God
@ἀπέρατος1|not to be crossed or passed
@ἀπέρατος2|boundless
@ἀπέρατος|not to be crossed or passed
@ἀπαμάω1|cut off
@ἀπαμάω2|sweep away
@ἀπαμάω|cut off
@ἀπείρατος2|impenetrable
@ἀπείρων1|without experience, ignorant
@ἀπείρων2|boundless, endless
@ἀπείρων|without experience, ignorant
@ἀπειλέω1|keep away
@ἀπειλέω2|hold out
@ἀπειλέω|keep away
@ἀπειρία1|want of skill, inexperience, ignorance
@ἀπειρία2|infinity, infinitude
@ἀπειρία|want of skill, inexperience, ignorance
@ἀπλυσία1|filthiness, filth
@ἀπλυσία2|sponge
@ἀπλυσία|filthiness, filth
@ἀποδέω1|bind fast, tie up
@ἀποδέω2|to be in want of, lack
@ἀποδέω|bind fast, tie up
@ἀποκλάζω1|ring or shout forth
@ἀποκλάζω2|bend one's knees
@ἀποκλάζω|ring or shout forth
@ἀποκλάω1|break off
@ἀποκλάω|break off
@ἀπονέω1|unload
@ἀπονέω2|to be without pain
@ἀπονέω|unload
@ἀπορέω2|to be
@ἀπρόσκοπος1|not stumbling, void of offence
@ἀπρόσκοπος2|unseeing
@ἀπρόσκοπος|not stumbling, void of offence
@ἀπόπλοος1|sailing away
@ἀπόπλοος2|starting on a voyage
@ἀπόπλοος|sailing away
@ἀπότοκος1|propagation
@ἀπότοκος2|resulting from
@ἀπότοκος|propagation
@ἀπόφασις1|denial, negation
@ἀπόφασις2|sentence, decision
@ἀπόφασις|denial, negation
@ἀργός1|shining, glistening
@ἀργός2|not working the ground
@ἀργός|shining, glistening
@ἀρκτικός1|near the Bear, arctic, northern
@ἀρκτικός2|initial, placed at the beginning
@ἀρκτικός3|imperious
@ἀρκτικός|near the Bear, arctic, northern
@ἀρύω1|draw
@ἀρύω|draw
@ἀσφάραγος1|throat, gullet
@ἀσφάραγος2|stone sperage, Asparagus acutifolius
@ἀσφάραγος|throat, gullet
@ἀφυλακτέω1|bark out
@ἀφυλακτέω2|to be off one's guard
@ἀφυλακτέω|bark out
@ἀχέω1|utter
@ἀχέω|utter
@ἁλία1|assembly of people
@ἁλία2|salt-cellar
@ἁλία|assembly of people
@ἁλίζω1|gather together, assemble
@ἁλίζω2|salt
@ἁλίζω|gather together, assemble
@ἁμός2|as, when
@ἄατος1|insatiate
@ἄατος|insatiate
@ἄβιος1|not to be survived
@ἄβιος2|wealthy
@ἄβιος|not to be survived
@ἄγη1|envy, malice
@ἄγη|envy, malice
@ἄγος1|any matter of religious awe
@ἄγος2|fragment
@ἄγος|any matter of religious awe
@ἄγχουρος1|neighbouring
@ἄγχουρος2|gold
@ἄγχουρος|neighbouring
@ἄγωνος1|without angle
@ἄγωνος|without angle
@ἄδεια1|freedom from fear
@ἄδεια2|abundance, plenty
@ἄδεια|freedom from fear
@ἄζω1|dry up, parch
@ἄζω2|cry
@ἄζω|dry up, parch
@ἄητος2|insatiate
@ἄθεος1|without God, denying the gods
@ἄθεος2|without vision
@ἄθεος|without God, denying the gods
@ἄκων1|javelin, dart
@ἄκων|javelin, dart
@ἄλευρον1|wheat-meal
@ἄλευρον|wheat-meal
@ἄληκτος1|unceasing
@ἄληκτος2|fine meal
@ἄληκτος|unceasing
@ἄλληκτος1|unceasing, ceaseless
@ἄλληκτος|unceasing, ceaseless
@ἄλλην1|elsewhither
@ἄλλην|elsewhither
@ἄλογχος1|without lances or weapons
@ἄλογχος2|unlucky
@ἄλογχος|without lances or weapons
@ἄμαλλος1|without fleece or nap
@ἄμαλλος|without fleece or nap
@ἄμμος1|sand
@ἄμμος|sand
@ἄν1|he came
@ἄν|he came
@ἄνα1|king
@ἄνα|king
@ἄναλτος1|not to be filled, insatiate
@ἄναλτος2|not salted
@ἄναλτος|not to be filled, insatiate
@ἄναυλος1|without the flute
@ἄναυλος2|weary of its stall
@ἄναυλος|without the flute
@ἄναυρος|without air, windless, still
@ἄνθημα2|offering
@ἄνθος1|blossom, flower
@ἄνθος2|bird
@ἄνθος|blossom, flower
@ἄνοδος1|having no way or road, impassable
@ἄνοδος2|way up
@ἄνοδος|having no way or road, impassable
@ἄνω1|accomplish, finish
@ἄνω2|upwards
@ἄνω|accomplish, finish
@ἄοζος1|servant, attendant
@ἄοζος|servant, attendant
@ἄπειμι1|sum
@ἄπειμι2|go away, depart
@ἄπειμι|sum
@ἄπειρος1|without trial or experience of
@ἄπειρος2|boundless, infinite
@ἄπειρος|without trial or experience of
@ἄπιος1|pear-tree, Pyrus communis
@ἄπιος2|far away, far off, distant
@ἄπιος|pear-tree, Pyrus communis
@ἄρκιος1|to be relied on, sure, certain
@ἄρκιος|to be relied on, sure, certain
@ἄρκος1|bear
@ἄρκος2|defence
@ἄρκος|bear
@ἄρμα1|that which one takes: food
@ἄρμα2|union, love
@ἄρμα|that which one takes: food
@ἄρωμα1|aromatic herb or spice
@ἄρωμα2|arable land, corn-land
@ἄρωμα|aromatic herb or spice
@ἄσκοπος1|inconsiderate, heedless
@ἄσκοπος2|aimless
@ἄσκοπος|inconsiderate, heedless
@ἄτλας|not enduring or daring
@ἄττα2|father
@ἄφθα1|an infantile disease, thrush
@ἄφθα|an infantile disease, thrush
@ἄω1|blow
@ἄω2|hurt
@ἄω3|satiate
@ἄω|blow
@ἄωρος1|untimely, unseasonable
@ἄωρος2|fore
@ἄωρος3|sleep
@ἄωρος|untimely, unseasonable
@ἅδος1|satiety, loathing
@ἅδος2|decree
@ἅδος|satiety, loathing
@ἅλιος1|of the sea
@ἅλιος2|fruitless, idle
@ἅλιος3|nine
@ἅλιος|of the sea
@ἅλς1|salt
@ἅλς2|sea
@ἅλς|salt
@Ἀμοργός|the island of Amorgos
@Ἄναυρος|mountain-torrent
@Ἄρειος1|devoted to Ares, warlike, martial
@Ἄρειος2|the hill of Ares
@Ἄρειος|devoted to Ares, warlike, martial
@Ἄτλας|Atlas
@ἐγχείη1|spear, lance
@ἐγχείη|spear, lance
@ἐκθειόω1|make a god of, worship as such
@ἐκθειόω2|desulphurate
@ἐκθειόω|make a god of, worship as such
@ἐλελίζω1|whirl round
@ἐλελίζω2|cry
@ἐλελίζω|whirl round
@ἐμβαδόν1|by land
@ἐμβαδόν2|a surface, area
@ἐμβαδόν|by land
@ἐμπλάζω1|drive about in
@ἐμπλάζω|drive about in
@ἐναύω1|kindle
@ἐναύω2|cry aloud in
@ἐναύω|kindle
@ἐνδέω1|bind in, on or to
@ἐνδέω2|fall short
@ἐνδέω|bind in, on or to
@ἐνδαίω1|light or kindle in
@ἐνδαίω2|distribute
@ἐνδαίω|light or kindle in
@ἐνδεύω1|to be wanting
@ἐνδεύω2|soak or dye in
@ἐνδεύω|to be wanting
@ἐνναέτης1|nine years old
@ἐνναέτης|nine years old
@ἐννεάχειλος1|with nine lips
@ἐννεάχειλος|with nine lips
@ἐξαμάω1|mow or reap out, finish mowing or reaping
@ἐξαμάω|mow or reap out, finish mowing or reaping
@ἐξαύω1|take out
@ἐξαύω2|heat
@ἐξαύω3|cry out
@ἐξαύω|take out
@ἐξερέω1|will speak
@ἐξερέω2|inquire into
@ἐξερέω|will speak
@ἐξορίζω1|send beyond the frontier, banish
@ἐξορίζω2|press out the whey from cheese
@ἐξορίζω|send beyond the frontier, banish
@ἐπίλογχος1|barbed
@ἐπίλογχος2|reserve candidate
@ἐπίλογχος|barbed
@ἐπίπλοος1|sailing against
@ἐπίπλοος2|sailing against, bearing down
@ἐπίπλοος|sailing against
@ἐπίσκοπος1|one who watches over, overseer, guardian
@ἐπίσκοπος2|hitting the mark, successful
